what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1323200897039
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1323200897041
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1323200897048
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1323200897050
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1323200897053
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1323200897055
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1323200897057
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1323200897060
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1323200897062
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1323200897063
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1323200897065
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1323200897066
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1323200897068
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1323200897070
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1323200897071
os,sysinfo,,,"macosx",1323200897079
arch,sysinfo,,,"x86_64",1323200897079
ws,sysinfo,,,"cocoa",1323200897079
locale,sysinfo,,,"en_US",1323200897079
processors,sysinfo,,,"4",1323200897079
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1323200897079
java.runtime.version,sysinfo,,,"1.6.0_29-b11-402-11M3527",1323200897079
java.specification.name,sysinfo,,,"Java Platform API Specification",1323200897079
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1323200897079
java.specification.version,sysinfo,,,"1.6",1323200897079
java.vendor,sysinfo,,,"Apple Inc.",1323200897079
java.version,sysinfo,,,"1.6.0_29",1323200897079
java.vm.info,sysinfo,,,"mixed mode",1323200897079
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1323200897079
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1323200897079
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1323200897079
java.vm.specification.version,sysinfo,,,"1.0",1323200897079
java.vm.vendor,sysinfo,,,"Apple Inc.",1323200897079
java.vm.version,sysinfo,,,"20.4-b02-402",1323200897079
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1323200897088
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1323200898860
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1323200905415
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1323200905440
started,bundle,org.eclipse.jdt.core,3.7.1.v_B76_R37x,"org.eclipse.jdt.core",1323200905769
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1323200905993
started,bundle,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui",1323200906031
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1323200906215
